data,chuva_mm
2017-02-04,0.00
2017-02-05,0.00
2017-02-06,0.00
2017-02-07,0.00
2017-02-08,0.00
2017-02-09,0.60
2017-02-10,0.00
2017-02-11,0.00
2017-02-12,3.00
2017-02-13,25.80
2017-02-14,30.20
2017-02-15,0.00
2017-02-16,0.00
2017-02-17,0.00
2017-02-18,0.00
2017-02-19,0.00
2017-02-20,0.00
2017-02-21,0.00
2017-02-22,0.00
2017-02-23,3.40
2017-02-24,32.60
2017-02-25,0.20
2017-02-26,0.00
2017-02-27,0.00
2017-02-28,0.20
2017-03-01,2.00
2017-03-02,4.20
2017-03-03,2.20
2017-03-04,2.60
2017-03-05,4.40
2017-03-06,0.00
2017-03-07,0.00
2017-03-08,0.00
2017-03-09,0.00
2017-03-10,1.80
2017-03-11,0.00
2017-03-12,7.80
2017-03-13,1.00
2017-03-14,0.00
2017-03-15,0.00
2017-03-16,2.00
2017-03-17,3.80
2017-03-18,6.40
2017-03-19,0.00
2017-03-20,0.00
2017-03-21,0.00
2017-03-22,0.00
2017-03-23,0.00
2017-03-24,0.00
2017-03-25,0.80
2017-03-26,0.00
2017-03-27,3.80
2017-03-28,0.00
2017-03-29,0.00
2017-03-30,0.00
2017-03-31,0.00
2017-04-01,0.00
2017-04-02,0.00
2017-04-03,0.00
2017-04-04,0.00
2017-04-05,50.80
2017-04-06,25.60
2017-04-07,0.00
2017-04-08,0.00
2017-04-09,0.00
2017-04-10,0.00
2017-04-11,0.00
2017-04-12,12.20
2017-04-13,0.00
2017-04-14,0.00
2017-04-15,0.00
2017-04-16,0.00
2017-04-17,0.00
2017-04-18,0.00
2017-04-19,0.00
2017-04-20,44.80
2017-04-21,6.80
2017-04-22,0.00
2017-04-23,0.00
2017-04-24,0.00
2017-04-25,0.00
2017-04-26,26.60
